sh_code;sh_level;kingdom;phylum;class;order;family;genus;species;lowest_taxon;lowest_taxon_level
SH0970042.10FU;1,5;Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporales_fam_unspecified;Pleosporales_gen_unspecified;Pleosporales_sp;Pleosporales_gen_unspecified;genus
SH0976163.10FU;1,5;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Agaricales_fam_Incertae_sedis;Collybia;Collybia_cookei;Collybia_cookei;species
SH0989042.10FU;1,5;Fungi;Ascomycota;Pezizomycetes;Pezizales;Pezizaceae;Pachyphlodes;Pachyphlodes_nemoralis;Pachyphlodes_nemoralis;species
SH1011280.10FU;1,5;Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreales_fam_unspecified;Hypocreales_gen_unspecified;Hypocreales_sp;Hypocreales_gen_unspecified;genus
SH1034997.10FU;1,5;unspecified;unspecified;unspecified;unspecified;unspecified;unspecified;unspecified;unspecified;species
SH0734805.10FU;1,5;Fungi;Basidiomycota;Agaricomycetes;Sebacinales;Sebacinaceae;Chaetospermum;Chaetospermum_sp;Chaetospermum;genus
SH0742699.10FU;1,5;Fungi;Rozellomycota;Rozellomycota_cls_unspecified;Rozellomycota_ord_unspecified;Rozellomycota_fam_unspecified;Rozellomycota_gen_unspecified;Rozellomycota_sp;Rozellomycota_gen_unspecified;genus
SH0860703.10FU;1,5;Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiales_fam_unspecified;Helotiales_gen_unspecified;Helotiales_sp;Helotiales_gen_unspecified;genus
SH0924096.10FU;1,5;Fungi;Basidiomycota;Agaricomycetes;Trechisporales;Hydnodontaceae;Subulicystidium;Subulicystidium_longisporum;Subulicystidium_longisporum;species
SH0827540.10FU;1,5;Fungi;Basidiomycota;Agaricomycetes;Trechisporales;Trechisporales_fam_unspecified;Trechisporales_gen_unspecified;Trechisporales_sp;Trechisporales_gen_unspecified;genus
SH0908268.10FU;1,5;Fungi;Ascomycota;Leotiomycetes;Helotiales;Mollisiaceae;Mollisia;Mollisia_sp;Mollisia;genus
SH0954352.10FU;1,5;Rhizaria;Cercozoa;Cercozoa_cls_Incertae_sedis;Thaumatomonadida;Thaumatomonadida_fam_unspecified;Thaumatomonadida_gen_unspecified;Thaumatomonadida_sp;Thaumatomonadida_gen_unspecified;genus
SH1004014.10FU;1,5;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Psathyrellaceae;Candolleomyces;Candolleomyces_candolleanus;Candolleomyces_candolleanus;species
SH0853051.10FU;1,5;Fungi;Ascomycota;Sordariomycetes;Hypocreales;Cordycipitaceae;Simplicillium;Simplicillium_lamellicola;Simplicillium_lamellicola;species
SH0889509.10FU;1,5;Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreales_fam_unspecified;Hypocreales_gen_unspecified;Hypocreales_sp;Hypocreales_gen_unspecified;genus
